id	SPE_0xA_AR01	SPE_0xA_AR02	SPE_0xA_AR03	SPE_0xA_AR04	SPE_0xA_AR05	SPE_0xA_AR06	SPE_0xA_AR07	SPE_0xA_AR08	SPE_0xA_AR09	SPE_0xA_AR10
S0_M_T191	337	282	163	176	117	75	69	27	51	28
S0_M_T192	63	48	31	20	20	13	9	8	7	10
S0_M_T193	188	109	67	60	62	28	12	13	13	9
S0_M_T194	297	189	101	79	70	40	32	28	37	24
S0_M_T195	49	34	21	11	18	10	5	10	12	20
S0_M_T196	7	11	4	8	3	2	2	2	2	0
S0_M_T197	0	0	0	0	0	0	0	0	0	0
S0_M_T198	6	3	4	4	2	3	2	4	4	6
S0_M_T199	0	1	1	1	1	0	0	0	1	0
S0_M_T2	4	6	6	3	2	2	2	0	0	0
S0_M_T20	15	9	7	9	6	2	5	0	1	1
S0_M_T200	50	44	40	26	36	7	4	12	17	6
S0_M_T201	14	7	7	1	9	2	0	3	5	0
S0_M_T202	1	6	0	1	0	1	0	0	1	0
S0_M_T203	8	3	2	2	2	2	1	0	1	0
S0_M_T204	130	77	43	42	24	16	12	9	11	13
S0_M_T205	1	0	0	0	0	0	0	1	0	0
S0_M_T206	8	6	7	2	3	0	1	1	0	1
S0_M_T207	111	94	57	57	44	26	12	13	12	8
S0_M_T208	0	0	0	0	0	0	0	0	0	0
S0_M_T209	0	0	0	0	0	0	0	0	0	0
S0_M_T21	4	1	0	0	0	0	1	0	0	1
S0_M_T210	17	26	14	11	9	3	2	1	6	2
S0_M_T211	3	2	3	7	3	0	0	1	2	0
S0_M_T212	13	14	7	18	8	0	1	0	0	0
S0_M_T213	12	6	5	1	4	1	2	0	1	2
S0_M_T214	95	73	32	33	25	25	11	15	5	8
S0_M_T215	35	20	21	20	18	10	5	3	6	3
S0_M_T216	6	2	4	4	2	0	2	0	0	0
S0_M_T217	296	229	115	103	73	42	22	29	34	15
S0_M_T218	0	0	0	0	0	0	0	1	0	2
S0_M_T219	12	11	2	6	9	0	3	2	1	4
S0_M_T22	12	13	11	8	2	1	1	1	1	1
S0_M_T220	0	0	0	0	0	0	0	0	0	0
S0_M_T221	6	3	4	4	2	3	2	4	4	6
S0_M_T222	53	30	21	17	20	4	6	2	4	1
S0_M_T223	111	94	57	57	44	26	12	13	12	8
S0_M_T224	4	2	1	4	3	0	0	0	0	0
S0_M_T225	0	0	0	0	0	0	0	0	0	0
S0_M_T226	102	77	37	33	25	19	12	10	11	5
S0_M_T227	8	6	4	2	1	3	2	0	1	0
S0_M_T228	111	94	57	57	44	26	12	13	12	8
S0_M_T229	11	11	5	3	8	4	3	5	3	3
S0_M_T23	14	12	4	5	3	4	4	2	1	3
